Date,County,Town,Race/Ethnicity,Population,Group share of town population,Individuals with at least one dose
March-11-2021,Berkshire,Lanesborough (includes Hancock and New Ashford),White,3653.92737113894,0.951311337116841,696
March-11-2021,Berkshire,Lanesborough (includes Hancock and New Ashford),Other/Unknown,0,0,80
March-11-2021,Berkshire,Lanesborough (includes Hancock and New Ashford),Total,3840.93748132234,1,*
March-11-2021,Berkshire,Lee,AI/AN,9.29854803695216,0.00159490711283269,*
March-11-2021,Berkshire,Lee,Asian,143.915313312088,0.0246846664591979,*
March-11-2021,Berkshire,Lee,Black,59.0910793485172,0.0101354300029838,*
March-11-2021,Berkshire,Lee,Hispanic,271.52337751,0.0465722782062433,52
March-11-2021,Berkshire,Lee,Multi,21.896677098064,0.00375576551439205,*
March-11-2021,Berkshire,Lee,NH/PI,0,0,*
March-11-2021,Berkshire,Lee,White,5253.28118727275,0.901054175124498,1349
March-11-2021,Berkshire,Lee,Other/Unknown,0,0,381
March-11-2021,Berkshire,Lee,Total,5830.1502088339,1,*
March-11-2021,Berkshire,Lenox,AI/AN,3.36518568666433,0.000696326020892521,*
March-11-2021,Berkshire,Lenox,Asian,91.3835417451909,0.018909131300142,*
March-11-2021,Berkshire,Lenox,Black,25.1323766566209,0.00520040481041738,*
March-11-2021,Berkshire,Lenox,Hispanic,148.69597459,0.0307682505364579,38
March-11-2021,Berkshire,Lenox,Multi,66.9841157140704,0.013860389024897,*
March-11-2021,Berkshire,Lenox,NH/PI,1.76523594002123,0.000365263564183839,*
March-11-2021,Berkshire,Lenox,White,4457.02004809774,0.922248970518595,1727
March-11-2021,Berkshire,Lenox,Other/Unknown,0,0,215
March-11-2021,Berkshire,Lenox,Total,4832.77313455984,1,*
March-11-2021,Berkshire,Monterey,AI/AN,0,0,*
March-11-2021,Berkshire,Monterey,Asian,0.120410642820769,0.000130041666546595,*
March-11-2021,Berkshire,Monterey,Black,15.3850592889183,0.0166156305039177,*
March-11-2021,Berkshire,Monterey,Hispanic,2.56106525,0.00276591159587371,*
March-11-2021,Berkshire,Monterey,Multi,2.51366122055569,0.00271471596361438,*
March-11-2021,Berkshire,Monterey,NH/PI,0,0,*
March-11-2021,Berkshire,Monterey,White,901.324613376319,0.973416901339764,244
March-11-2021,Berkshire,Monterey,Other/Unknown,0,0,*
March-11-2021,Berkshire,Monterey,Total,925.938939559997,1,*
March-11-2021,Berkshire,New Marlborough,AI/AN,2.52423151201358,0.00165709589044327,*
March-11-2021,Berkshire,New Marlborough,Asian,16.7678337691094,0.0110076703734129,*
March-11-2021,Berkshire,New Marlborough,Black,8.74780031466926,0.00574271570688593,*
March-11-2021,Berkshire,New Marlborough,Hispanic,18.22630533,0.0119651210741025,*
March-11-2021,Berkshire,New Marlborough,Multi,10.1175359362976,0.00664191344639259,*
March-11-2021,Berkshire,New Marlborough,NH/PI,0,0,*
March-11-2021,Berkshire,New Marlborough,White,1460.69036078218,0.958907288234991,177
March-11-2021,Berkshire,New Marlborough,Other/Unknown,0,0,*
March-11-2021,Berkshire,New Marlborough,Total,1523.28632674259,1,*
March-11-2021,Berkshire,North Adams (includes Clarksburg),AI/AN,32.7746096227183,0.00225259553826206,*
